index,eligible,ground_truth_eligible,witness_time_ms,generate_time_ms,verify_time_ms,verified,jurisdiction,jurisdiction_name,failed_flags
532,true,true,204,219,14,true,6,Uttar_Pradesh,""
533,false,false,31,31,0,false,6,Uttar_Pradesh,"title_valid;registry_verified;jurisdiction_mismatch"
534,false,false,34,35,0,false,4,Rajasthan,"kyc_pass;zoning_compliant;jurisdiction_mismatch"
535,true,true,218,233,14,true,3,Maharashtra,""
536,true,true,221,237,15,true,0,Delhi,""
537,true,true,238,251,13,true,0,Delhi,""
538,true,true,229,244,15,true,7,Gujarat,""
539,false,false,35,35,0,false,7,Gujarat,"kyc_pass;title_valid;encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
540,true,true,240,256,16,true,2,Telangana,""
541,false,false,33,33,0,false,6,Uttar_Pradesh,"registry_verified;mutation_complete;encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
542,true,true,217,231,13,true,3,Maharashtra,""
543,false,false,41,41,0,false,0,Delhi,"kyc_pass;mutation_complete;encumbrance_free;jurisdiction_mismatch"
544,false,false,42,43,0,false,7,Gujarat,"kyc_pass;title_valid;jurisdiction_mismatch"
545,true,true,217,230,12,true,1,Karnataka,""
546,true,true,230,244,13,true,7,Gujarat,""
547,true,true,235,250,14,true,6,Uttar_Pradesh,""
548,false,false,29,30,0,false,5,Chandigarh,"mutation_complete;jurisdiction_mismatch"
549,false,false,36,37,0,false,1,Karnataka,"tax_paid;jurisdiction_mismatch"
550,true,true,201,215,14,true,3,Maharashtra,""
551,true,true,215,227,12,true,3,Maharashtra,""
552,false,false,37,38,0,false,5,Chandigarh,"title_valid;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
553,true,true,197,211,14,true,4,Rajasthan,""
554,true,true,197,210,12,true,7,Gujarat,""
555,true,true,228,244,15,true,3,Maharashtra,""
556,true,true,222,238,16,true,1,Karnataka,""
557,false,false,30,31,0,false,6,Uttar_Pradesh,"title_valid;mutation_complete;jurisdiction_mismatch"
558,true,true,226,240,14,true,3,Maharashtra,""
559,true,true,232,245,13,true,0,Delhi,""
560,false,false,30,30,0,false,6,Uttar_Pradesh,"kyc_pass;title_valid;mutation_complete;tax_paid;jurisdiction_mismatch"
561,true,true,208,223,14,true,6,Uttar_Pradesh,""
562,false,false,30,30,0,false,7,Gujarat,"kyc_pass;title_valid;zoning_compliant;jurisdiction_mismatch"
563,true,true,247,263,15,true,5,Chandigarh,""
564,true,true,209,223,13,true,0,Delhi,""
565,true,true,198,216,17,true,6,Uttar_Pradesh,""
566,false,false,34,35,0,false,4,Rajasthan,"jurisdiction_eligible;jurisdiction_mismatch"
567,true,true,200,215,14,true,5,Chandigarh,""
568,false,false,29,29,0,false,2,Telangana,"title_valid;registry_verified;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
569,true,true,240,255,15,true,2,Telangana,""
570,true,true,197,212,14,true,7,Gujarat,""
571,true,true,212,228,16,true,3,Maharashtra,""
572,true,true,227,242,14,true,3,Maharashtra,""
573,false,false,31,31,0,false,5,Chandigarh,"kyc_pass;encumbrance_free;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
574,false,false,33,33,0,false,0,Delhi,"encumbrance_free;jurisdiction_mismatch"
575,true,true,224,239,14,true,7,Gujarat,""
576,true,true,228,241,12,true,3,Maharashtra,""
577,true,true,208,223,14,true,0,Delhi,""
578,true,true,207,222,14,true,4,Rajasthan,""
579,false,false,32,33,0,false,2,Telangana,"mutation_complete;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
580,true,true,219,234,15,true,5,Chandigarh,""
581,true,true,205,219,13,true,4,Rajasthan,""
582,false,false,29,29,0,false,2,Telangana,"tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
583,false,false,37,38,0,false,1,Karnataka,"registry_verified;mutation_complete;encumbrance_free;zoning_compliant;jurisdiction_mismatch"
584,false,false,36,36,0,false,5,Chandigarh,"registry_verified;encumbrance_free;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
585,true,true,212,227,14,true,6,Uttar_Pradesh,""
586,true,true,202,215,12,true,2,Telangana,""
587,false,false,27,28,0,false,4,Rajasthan,"mutation_complete;jurisdiction_mismatch"
588,true,true,210,227,16,true,4,Rajasthan,""
589,true,true,199,212,13,true,1,Karnataka,""
